id,type,source,target,lineType,,,,,,,,,,,,,,,,,
49,anstreicher,95,301,fatherOf,,,,,,,,,,,,,,,,,
41,ceri,274,215,fatherOf,,,,,,,,,,,,,,,,,
42,ceri,274,44,fatherOf,,,,,,,,,,,,,,,,,
46,ceri,242,285,fatherOf,,,,,,,,,,,,,,,,,
62,ceri,274,261,brotherOf,,,,,,,,,,,,,,,,,
28,gipsspezialist,46,162,fatherOf,,,,,,,,,,,,,,,,,
17,glasmaler,2,77,fatherOf,,,,,,,,,,,,,,,,,
50,hobby,161,119,brotherOf,,,,,,,,,,,,,,,,,
9,miniaturist,244,32,fatherOf,,,,,,,,,,,,,,,,,
10,miniaturist,244,124,fatherOf,,,,,,,,,,,,,,,,,
19,miniaturist,225,79,fatherOf,,,,,,,,,,,,,,,,,
60,miniaturist,159,48,brotherOf,,,,,,,,,,,,,,,,,
61,miniaturist,48,159,brotherOf,,,,,,,,,,,,,,,,,
78,miniaturist,244,52,brotherOf,,,,,,,,,,,,,,,,,
79,miniaturist,52,244,brotherOf,,,,,,,,,,,,,,,,,
83,miniaturist,53,177,brotherOf,,,,,,,,,,,,,,,,,
92,miniaturist,124,32,brotherOf,,,,,,,,,,,,,,,,,
93,miniaturist,32,124,brotherOf,,,,,,,,,,,,,,,,,
108,miniaturist,52,32,uncleOf,,,,,,,,,,,,,,,,,
109,miniaturist,52,124,uncleOf,,,,,,,,,,,,,,,,,
123,miniaturist,73,63,otherFamily,,,,,,,,,,,,,,,,,
124,miniaturist,63,73,otherFamily,,,,,,,,,,,,,,,,,
2,moebelmaler,255,4,fatherOf,,,,,,,,,,,,,,,,,
3,moebelmaler,106,10,fatherOf,,,,,,,,,,,,,,,,,
4,moebelmaler,106,205,fatherOf,,,,,,,,,,,,,,,,,
5,moebelmaler,106,302,fatherOf,,,,,,,,,,,,,,,,,
6,moebelmaler,18,20,fatherOf,,,,,,,,,,,,,,,,,
11,moebelmaler,273,35,fatherOf,,,,,,,,,,,,,,,,,
