id,source,target,lineType
310,227,120,teacherOf
311,227,173,teacherOf
312,227,129,teacherOf
313,78,14,teacherOf
314,78,295,teacherOf
315,78,37,teacherOf
316,78,85,teacherOf
317,18,76,teacherOf
318,18,3,teacherOf
319,211,13,teacherOf
320,299,13,teacherOf
321,83,17,teacherOf
322,101,28,teacherOf
323,241,83,teacherOf
324,126,98,teacherOf
325,126,54,teacherOf
326,18,55,masterOf
327,227,252,masterOf
328,227,274,masterOf
329,143,45,masterOf
330,303,14,masterOf
331,186,68,masterOf
332,126,141,masterOf
333,78,83,masterOf
334,78,31,masterOf
335,78,295,masterOf
336,78,55,masterOf
337,124,289,masterOf
