id,label
1,Agnolo di Baldino di Michele
2,Agnolo di Filippo di Paolo (Agnolo di Lazzaro)
4,Alberto di Michele di Giovanni Stracchi
5,Alesso di Baldovinetto d’Alesso de’ Baldovinetti
6,Ambrogio di Baldese D’Ambrogio
7,Ambrogio di Salario da Sardegna
8,Andrea di Bartolomeo di Simone da Castagno (Andrea del Castagno)
9,Andrea di Benedetto di Benedetto
10,Andrea di Domenico di Guido
11,Andrea di Giovanni di Francesco Mangiabotti
12,Andrea di Giovanni di Guiduccio
13,Andrea di Giuliano d’Andrea
14,Andrea di Giusto di Giovanni Brugli
15,Andrea di Matteo
16,Andrea di Nuto
17,Andrea di Sandro
18,Andrea di Stagio di Dino Guiducci
3,Anolo di Giovanni
20,Antonio d’Andrea di Stagio di Dino
21,Antonio d’Antonio
19,Antonio dalla Mattonaia
22,Antonio di Cambio
23,Antonio di Dino d’Agnolo
24,Antonio di Domenico di Neri di Lapino
25,Antonio di Francesco di Giovanni
26,Antonio di Giovanni da Trebbio
27,Antonio di Giovanni di ser Francesco Alfani
28,Antonio di Giovanni di Tommaso
29,Antonio di Iacopo (Schiaccina)
30,Antonio di Iacopo di Lorino di Cione
31,Antonio di Lorenzo
32,Antonio di Matteo di Filippo Torelli
33,Antonio di Michele di Ventura
34,Antonio di Miniato di Meglio
35,Antonio di Piero d’Andrea
36,Antonio di Piero di Francesco
37,Antonio di Tommaso (Mazzingo)
38,Antonio di Vita da Pistoia
39,Appolonio di Giovanni di Tommaso
40,Arcangelo di Cola di Giovanni da Camerino
41,Arrigo di Niccolò di ser Cecco
42,Baldassare di Giovanni d’Antonio
43,Baldo di Giovanni Galli
44,Baldo di Piero d’Antonio di Baldo
45,Barnaba di Giovanni
46,Barnaba di Michele di Borgo (Fattorino)
47,Bartolo (Pesello)
48,Bartolomeo d’Antonio di Luca di Iacopo Varnucci
49,Bartolomeo d’Antonio di Michele
50,Bartolomeo di Bertozzo
51,Bartolomeo di Donato di Filippo
52,Bartolomeo di Filippo Torelli
53,Bartolomeo di Fruosino di Fruosino
54,Bartolomeo di Giovanni Corradini da Urbino (Fra Carnevale)
55,Bartolomeo di Giovanni di Bartolomeo Cristiani da Pistoia
56,Bartolomeo di Giovanni di Guido
57,Bartolomeo di Lorenzo di Gherardino
58,Bartolomeo di Michele di Lapo del Corazza
59,Bartolomeo di Piero di Niccolò di Martino
61,Bartolomeo di Tommado di Domenico
60,Fra Bartolomeo di Tommaso
62,Bastiano di Niccolò di Monte
63,Battista di Biagio Sanguini
64,Battista di Niccolò da Padova
65,Benci di Borazzo (Durazzo?)
66,Don Benedetto di Silvestro
67,Benedetto di Simone di Nese
68,Benozzo di Lese di Sandro di Lese (Benozzo Gozzoli)
69,Bernardo di Dino di Giovanni Amici
70,Bernardo di Francesco di Barnaba
71,Fra Bernardo di Stefano
72,Berto di Iacopo di Lapo di Guccio
74,Berto di Segna d’Andrea
73,Berto di ser Marco di Berto Sanguini
75,Bettino di Zanobi di Bettino
76,Bettuccio di Matteo (Cannerino)
77,Biagio d’Agnolo di Filippo di Paolo
78,Bicci di Lorenzo di Bicci
79,Bindo di Lorenzo di Bindo di Filippo Rosselli
80,Bindo di Niccolò di Piero Gerini
81,Bonaccorso di Bettino di Bonaccorso
83,Bonaiuto di Giovanni di Bartolino Marini (Buto di Giovanni)
84,Braccio di Niccolò
85,Buono di Marco di Buono
86,Calvano di Cristofano Calvanesi
88,Canni di Francesco di ser Cenni
87,Carlo di Francesco d’Amerigo Zati
89,Chimente di Lorenzo di Filippo Rosselli
90,Cione di Iacopo di Cione
91,Cipriano di Simone di Francesco
92,Cola d’Antonio di Chela
93,Contro di Giovanni
94,Cristofano d’Andrea di Nuto
95,Cristofano di Fino
96,Daddo di Iacopo
97,Dello di Niccolò di Dello (Dello Delli)
98,Fra Diamante di Feo da Terranuova (Fra Diamante)
99,Dino di Giovanni Amici
100,Fra Domenico
101,Domenico di Bartolomeo da Venezia (Domenico Veneziano)
102,Domenico di Bonaccorso
103,Domenico di Francesco d’Antonio (Michelino)
104,Domenico di Francesco Toscani
105,Domenico di Giovanni
106,Domenico di Guido di Bonaiuto
107,Domenico di Iacopo di Piero di Guido
